commitID,CPUTime
1,44863
2,806
3,576
4,1807
5,2440
6,7844
7,10158
8,12167
9,1459
10,1629
11,7754
12,23810
13,5638
14,4021
15,637
16,13278
17,758
18,2980
19,10570
20,2717
21,10802
22,638
23,599
24,1829
25,7263
26,1538
27,1555
28,1731
29,1342
30,2224
31,1720
32,5223
33,3321
34,1683
35,3854
36,6209
37,9824
38,4148
39,18998
40,2875
41,12219
42,3497
43,3811
44,5221
45,677
46,688
47,651
48,2287
49,690
50,1354
51,1465
52,1655
53,2086
54,684
55,2534
56,13575
57,2474
58,1727
59,710
60,4265
61,596
62,584
63,596
64,716
65,3771
66,1614
67,1636
68,12398
69,1200
70,2248
71,20446
72,1532
73,8512
74,816
75,7163
76,7715
77,4513
78,660
79,6474
80,630
81,1172
82,2650
83,609
84,587
85,15676
86,1641
87,1689
88,3968
89,593
90,2309
91,1331
92,1990
93,1464
94,2071
95,16088
96,2016
97,10945
98,657
99,636
100,688
101,743
102,7295
103,598
104,4878
105,627
106,2493
107,1326
108,746
109,570
110,7537
111,668
112,566
113,1719
114,3323
115,1983
116,5014
117,1375
118,1707
119,589
120,629
121,14278
122,770
123,1496
124,15278
125,651
126,1612
127,2703
128,3882
129,8791
130,672
131,577
132,610
133,2015
134,821
135,1324
136,1437
137,596
138,7977
139,13870
140,777
141,3490
142,723
143,665
144,609
145,635
146,10212
147,2579
148,1732
149,981
150,1992
151,1825
152,1855
153,612
154,7658
155,12439
156,860
157,1714
158,1619
159,1496
160,3303
161,2520
162,4125
163,1534
164,3535
165,3455
166,1589
167,2197
168,3251
169,1849
170,613
171,1683
172,1748
173,612
174,645
175,2529
176,1593
177,3294
178,619
179,1454
180,1477
181,13583
182,4587
183,1744
184,2486
185,589
186,18454
187,1119
188,13159
189,14851
190,9738
191,2389
192,580
193,861
194,670
195,9757
196,609
197,1128
198,622
199,19431
200,2212
201,1432
202,3496
203,1836
204,18170
205,1506
206,2337
207,2959
208,1593
209,1452
210,7908
211,3503
212,15908
213,4853
214,1534
215,601
216,6341
217,1754
218,655
219,593
220,1504
221,2512
222,13621
223,1692
224,795
225,4414
226,1077
227,2094
228,2603
229,4547
230,2278
231,2747
232,627
233,16181
234,15485
235,2265
236,3061
237,15253
238,662
239,8375
240,12477
241,1743
242,2443
243,14668
244,630
245,4045
246,8067
247,1508
248,7239
249,3995
250,1346
251,629
252,9598
253,15154
254,835
255,1398
256,583
257,1391
258,37481
259,855
260,1644
261,3803
262,10756
263,1994
264,700
265,671
266,1383
267,1220
268,852
269,1519
270,1477
271,7822
272,2480
273,1337
274,1422
275,1862
276,16722
277,669
278,5481
279,2632
280,1415
281,14965
282,1558
283,665
284,668
285,1414
286,591
287,7483
288,1794
289,1493
290,991
291,13574
292,6280
293,16997
294,631
295,564
296,2278
297,7603
298,4210
299,4552
300,1516
301,16928
302,2229
303,1950
304,3769
305,1404
306,1368
307,571
308,577
309,639
310,7416
311,737
312,7848
313,697
314,15556
315,1104
316,16664
317,634
318,8116
319,566
320,1577
321,3154
322,3024
323,612
324,1910
325,579
326,1290
327,1489
328,1431
329,1820
330,630
331,5276
332,16561
333,1422
334,632
335,602
336,1991
337,5286
338,611
339,2245
340,1654
341,11140
342,1974
343,590
344,1550
345,3060
346,592
347,2291
348,6534
349,1472
350,7006
351,1535
352,6520
353,8181
354,6107
355,2466
356,1492
357,37113
358,2218
359,694
360,3845
361,2339
362,593
363,584
364,3310
365,782
366,15754
367,1645
368,602
369,6552
370,4962
371,7193
372,1839
373,6513
374,5535
375,680
376,594
377,17580
378,714
379,4065
380,9849
381,1671
382,2296
383,594
384,585
385,16356
386,2537
387,11109
388,606
389,13163
390,6636
391,1816
392,2762
393,3907
394,593
395,1475
396,598
397,6367
398,605
399,1529
400,587
401,3897
402,1547
403,1455
404,678
405,574
406,19252
407,787
408,27056
409,817
410,588
411,14382
412,9242
413,2076
414,602
415,1763
416,594
417,17442
418,2068
419,15183
420,700
421,12456
422,1733
423,14439
424,15505
425,2131
426,2171
427,1324
428,627
429,602
430,657
431,629
432,594
433,659
434,1427
435,2368
436,600
437,605
438,17167
439,2173
440,16783
441,2210
442,1960
443,14638
444,6508
445,4109
446,8131
447,2884
448,8142
449,14281
450,1629
451,13095
452,3543
453,602
454,1366
455,1402
456,10169
457,1536
458,1990
459,597
460,22702
461,1209
462,615
463,1493
464,2124
465,737
466,1853
467,4873
468,1904
469,8317
470,9009
471,2480
472,14066
473,2400
474,2045
475,2588
476,1812
477,1321
478,574
479,4259
480,1499
481,671
482,1588
483,2036
484,585
485,8565
486,5906
487,1547
488,861
489,4689
490,11197
491,2098
492,585
493,2137
494,1536
495,10254
496,11084
497,626
498,1270
499,876
500,571
